id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16609448,Feel at home in bright and cosy apartment!,1271557,Cæcilie,,Bispebjerg,55.710988783819786,12.530387495632144,Entire home/apt,464,5,5,2018-09-15,0.24,1,0
16609516,Bright room in shared Frederiksberg-apartment,18060422,Inge,,Frederiksberg,55.686590424763345,12.535837130350405,Private room,548,1,0,,,2,0
16610694,Dreamy room in Østerbro/Nørrebro,109621027,Arash,,Nrrebro,55.707604120645044,12.555369339942319,Private room,453,2,61,2018-10-06,2.83,1,87
16611128,Beautiful Villa Apartment near City Centre!,33260831,Mialy And Helle,,Brnshj-Husum,55.70255702952841,12.498086803034195,Entire home/apt,1429,3,36,2018-10-12,1.94,7,167
16611629,Unique & cozy apartment in the heart of Nørrebro,11384384,Laura Bach,,Nrrebro,55.6917500247088,12.543598871697759,Entire home/apt,802,1,6,2018-10-01,0.39,1,353
16612406,Charming apartment in the heart of Copenhagen,109642806,Sofie,,sterbro,55.701236974571856,12.581661104935154,Entire home/apt,498,1,0,,,1,17
16612473,Cosy apartment in local area,35490163,Josefine,,Nrrebro,55.689018361683985,12.54230427569983,Entire home/apt,612,4,7,2018-09-12,0.34,1,0
16612966,AMAZING!! Longterm  Luxury! Best Location,10578506,Yasmin,,Indre By,55.67729586813744,12.590933058966597,Entire home/apt,3252,4,14,2018-08-31,0.98,1,350
16613314,Townhouse close to the beach,67587535,Carina,,Amager Vest,55.655541880583726,12.56492147688729,Entire home/apt,1299,2,3,2018-07-24,0.90,1,134
16614115,Cozy room in shared apartment,102872756,Anne-Sofie,,Brnshj-Husum,55.70578786608087,12.486452315953631,Private room,168,1,21,2018-09-16,1.04,1,0
16614339,"Spacious, family friendly flat in Little Berlin",12532136,Kim,,Nrrebro,55.700548017300214,12.53831443167911,Entire home/apt,406,10,0,,,1,0
